"","id","bin","taxon","NA","NA.1","ns","ofdeg","r","q","rms","gc","length"
"1","contig10022",21,"Bacillus halodurans C-125","Reverse",2498,0,-0.0690441523881047,-0.999982960036115,180.27727873724,0.230723148260867,0.425540432345877,2498
"2","contig10064",61,"Thiobacillus denitrificans ATCC 25259","Forward",2174,0,-0.0888486220050148,-0.999910567355843,203.180289901684,0.516675912986872,0.668813247470101,2174
"3","contig10074",41,"Fake Bacteria","Forward",2731,0,-0.0763108959868973,-0.99997907661931,213.518393785595,0.308792392960111,0.659831563529843,2731
"4","contig10098",31,"Pelotomaculum thermopropionicum SI","Reverse",2858,0,-0.0717117890348243,-0.999773901816617,220.603565940721,0.871871694081625,0.569279216235129,2858
"5","contig10102",32,"Granulibacter bethesdensis CGDNIH1","Forward",2221,0,-0.0762029425668214,-0.999896802057943,175.947230434796,0.55691446737984,0.617739756866276,2221
"6","contig10105",11,"Streptococcus gallolyticus UCN34","Forward",2385,0,-0.0797872642161913,-0.99978020536206,196.467379028459,0.798081340354945,0.362683438155136,2385
"7","contig10152",51,"Mycoplasma arthritidis 158L3-1","Reverse",2996,0,-0.0892261059777542,-0.999827686273229,281.215234318191,1.13720196316037,0.313417890520694,2996
"8","contig10202",32,"Granulibacter bethesdensis CGDNIH1","Reverse",2577,0,-0.0743243479435538,-0.999990475944257,198.553126992133,0.167173923169284,0.59720605355064,2577
"9","contig10225",31,"Pelotomaculum thermopropionicum SI","Reverse",2308,0,-0.0718644746721071,-0.999965248334551,172.804371149243,0.316872253357709,0.546360485268631,2308
"10","contig10232",33,"Prochlorococcus marinus MIT9303","Forward",2996,0,-0.0694003485669933,-0.999929164336723,215.573856978591,0.567074735845353,0.554739652870494,2996
"11","contig10267",61,"Thiobacillus denitrificans ATCC 25259","Forward",2029,0,-0.0906216261846746,-0.999925889794994,188.635493552289,0.447956693406048,0.674716609167077,2029
"12","contig103",22,"Desulfitobacterium hafniense Y51","Reverse",2082,0,-0.0678696868948051,-0.999897662328162,149.086612609931,0.404373364087563,0.460134486071085,2082
"13","contig10462",41,"Fake Bacteria","Forward",2471,0,-0.0754407326879261,-0.999679381770352,194.932837810052,1.08142413517181,0.662080129502226,2471
"14","contig10464",33,"Prochlorococcus marinus MIT9303","Forward",2624,0,-0.0699812904296649,-0.999988285461119,192.572802026554,0.177764658781899,0.540015243902439,2624
"15","contig10492",33,"Prochlorococcus marinus MIT9303","Forward",2018,0,-0.0734231794195052,-0.99998529681021,154.401399034617,0.184122028490618,0.568384539147671,2018
"16","contig10497",41,"Fake Bacteria","Reverse",2938,0,-0.0763105906171364,-0.999948865004892,229.282923226849,0.453512318491272,0.65997277059224,2938
"17","contig10502",32,"Granulibacter bethesdensis CGDNIH1","Reverse",2938,0,-0.0725298862537167,-0.999577059451056,220.554401504934,1.24000364230209,0.595643294758339,2938
"18","contig10521",61,"Thiobacillus denitrificans ATCC 25259","Reverse",2109,0,-0.092057134874194,-0.999938101882419,199.578143912678,0.432258742717673,0.683736367946894,2109
"19","contig10534",51,"Mycoplasma arthritidis 158L3-1","Reverse",2565,0,-0.0879081719478027,-0.999699173945142,236.092225066454,1.10641330352291,0.314230019493177,2565
"20","contig10539",41,"Fake Bacteria","Forward",2861,0,-0.0768128736477413,-0.999964915523417,225.373307590671,0.421661184427507,0.663404404054526,2861
"21","contig10555",21,"Bacillus halodurans C-125","Reverse",2989,0,-0.0705062604351504,-0.999941116658301,215.02797394625,0.457571816907533,0.445299431247909,2989
"22","contig1062",22,"Desulfitobacterium hafniense Y51","Forward",2308,0,-0.0687314612601401,-0.999970813264909,165.452061592598,0.277733756618599,0.466204506065858,2308
"23","contig10649",61,"Thiobacillus denitrificans ATCC 25259","Reverse",2406,0,-0.0883721648408629,-0.999934438906475,223.144347184301,0.557881135351267,0.677057356608479,2406
"24","contig10672",41,"Fake Bacteria","Forward",2363,0,-0.0760359720157643,-0.999990172761984,185.70535964112,0.182530667910427,0.657638595006348,2363
"25","contig10722",41,"Fake Bacteria","Forward",2099,0,-0.0754397473313943,-0.999903756835178,164.759524038842,0.43962341083543,0.66031443544545,2099
"26","contig10765",32,"Granulibacter bethesdensis CGDNIH1","Reverse",2592,0,-0.0703397213461183,-0.999996950522477,189.203498365535,0.0900571772477141,0.55054012345679,2592
"27","contig10901",32,"Granulibacter bethesdensis CGDNIH1","Forward",2576,0,-0.0758049282309023,-0.99998986391208,200.621005764542,0.201450548902127,0.616847826086957,2576
"28","contig10917",11,"Streptococcus gallolyticus UCN34","Reverse",2047,0,-0.0752064060117132,-0.99997424765809,160.705178102822,0.220947482669179,0.38104543234001,2047
"29","contig10994",21,"Bacillus halodurans C-125","Reverse",2107,0,-0.0703002917745708,-0.999974497887467,153.586940767287,0.211552891215312,0.447555766492644,2107
"30","contig10997",51,"Mycoplasma arthritidis 158L3-1","Forward",2811,0,-0.0920845369947045,-0.999776948105827,266.922987875567,1.25245836636655,0.307008182141587,2811
"31","contig11015",11,"Streptococcus gallolyticus UCN34","Reverse",2692,0,-0.0754771135659261,-0.999941463752162,208.671371566508,0.439733884172331,0.37964338781575,2692
"32","contig11057",51,"Mycoplasma arthritidis 158L3-1","Reverse",2373,0,-0.0908635477567673,-0.999723475987478,226.39728713274,1.16219191982114,0.299620733249052,2373
"33","contig11098",11,"Streptococcus gallolyticus UCN34","Forward",2075,0,-0.0771768770364765,-0.999961255359042,164.945482636949,0.281947866844974,0.375421686746988,2075
"34","contig11104",31,"Pelotomaculum thermopropionicum SI","Reverse",2056,0,-0.0690344733834803,-0.999849204445968,151.047409271265,0.564829255736158,0.540856031128405,2056
"35","contig11217",51,"Mycoplasma arthritidis 158L3-1","Forward",2505,0,-0.0887096184275885,-0.999843440454189,224.537556867609,0.786528137090747,0.321756487025948,2505
"36","contig11342",21,"Bacillus halodurans C-125","Forward",2307,0,-0.0702072447844601,-0.999677230544605,167.792645019275,0.823162584277885,0.439098396185522,2307
"37","contig11353",21,"Bacillus halodurans C-125","Forward",2421,0,-0.0686919737453599,-0.999984004610358,172.429185846153,0.215436176504524,0.458075175547294,2421
"38","contig11355",51,"Mycoplasma arthritidis 158L3-1","Forward",2914,0,-0.0846912337869811,-0.999866837825032,250.347342237458,0.805556898242015,0.327728208647907,2914
"39","contig11388",21,"Bacillus halodurans C-125","Forward",2130,0,-0.0675113925669403,-0.999939660757282,152.193744067351,0.315952099334858,0.453990610328639,2130
"40","contig11407",41,"Fake Bacteria","Reverse",2829,0,-0.0745211995053675,-0.999978407895626,217.85320917908,0.27718248522201,0.652173913043478,2829
"41","contig1141",11,"Streptococcus gallolyticus UCN34","Forward",2263,0,-0.0738450641857711,-0.999941432580906,172.679729762934,0.414466059534148,0.391515687140963,2263
"42","contig1143",33,"Prochlorococcus marinus MIT9303","Reverse",2576,0,-0.0693081587095103,-0.999959993885944,186.378235834138,0.365925862298551,0.543478260869565,2576
"43","contig11438",51,"Mycoplasma arthritidis 158L3-1","Forward",2198,0,-0.0896923374245402,-0.9999229053328,203.880182333412,0.560992889083626,0.305732484076433,2198
"44","contig11451",61,"Thiobacillus denitrificans ATCC 25259","Reverse",2489,0,-0.0883533574727269,-0.999973311360091,227.338486407719,0.321469157756293,0.675371635194857,2489
"45","contig11472",41,"Fake Bacteria","Forward",2537,0,-0.0761523604005382,-0.999974290437009,198.275039768367,0.277056237537553,0.659834450137958,2537
"46","contig1148",41,"Fake Bacteria","Forward",2988,0,-0.0768990855392202,-0.999963722526783,237.682612019753,0.391478832676928,0.668005354752343,2988
"47","contig11546",33,"Prochlorococcus marinus MIT9303","Reverse",2785,0,-0.0718901370215828,-0.999995892073993,207.56970914944,0.114776292349444,0.557271095152603,2785
"48","contig11565",31,"Pelotomaculum thermopropionicum SI","Forward",2074,0,-0.0718544956705566,-0.999981018422782,156.714472007706,0.183639102296752,0.574252651880424,2074
"49","contig11615",32,"Granulibacter bethesdensis CGDNIH1","Forward",2742,0,-0.0715521044566891,-0.999899308521274,201.95214739399,0.556912139047189,0.585703865791393,2742
"50","contig11657",32,"Granulibacter bethesdensis CGDNIH1","Reverse",2047,0,-0.0739102184693936,-0.999929392106888,157.439524160986,0.359560173681606,0.589643380556913,2047
"51","contig11664",22,"Desulfitobacterium hafniense Y51","Reverse",2790,0,-0.0684812990090042,-0.99996595641897,199.253741754695,0.315318820995694,0.448387096774194,2790
"52","contig11665",21,"Bacillus halodurans C-125","Reverse",2838,0,-0.0691437826039611,-0.999929864836464,204.238235643546,0.464872776014652,0.433403805496829,2838
"53","contig11671",22,"Desulfitobacterium hafniense Y51","Reverse",2894,0,-0.0690362910923071,-0.999986310056724,206.498969984939,0.209081489516541,0.445058742225294,2894
"54","contig1171",33,"Prochlorococcus marinus MIT9303","Reverse",2570,0,-0.0717492161225861,-0.999980610373498,192.842821651009,0.229660504709706,0.54863813229572,2570
"55","contig11714",41,"Fake Bacteria","Reverse",2297,0,-0.0760974827022983,-0.999748228341263,181.113704836792,0.784551181889227,0.658249891162386,2297
"56","contig11718",22,"Desulfitobacterium hafniense Y51","Reverse",2759,0,-0.069097155539454,-0.999969987440323,199.60764512224,0.295512284496212,0.479159115621602,2759
